Date,Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s),number of hosts online, url, latitude, longitude, location, country, countrycode, ISP, id, host, d, latency 
22/03/2021,21:20:32,36290613.38578039,31114026.925422132,9.982,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.981]
22/03/2021,21:21:21,7597829.689883025,0.0,7.938,0,['http://speedtest.vktv.no:8080/speedtest/upload.php', '63.7506', '11.9169', 'Verdal', 'Norway', 'NO', 'Verdal Kabel-TV', '31973', 'speedtest.vktv.no:8080', 82.15803984558451, 1800000.0]
22/03/2021,21:22:32,41049791.498265885,34769399.8994481,8.344,6,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 8.618]
22/03/2021,21:23:31,37069419.286139704,33949964.85825895,8.309,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 8.695]
22/03/2021,21:24:31,37562196.0711236,30891380.369239368,8.557,8,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.636]
22/03/2021,21:25:32,36301066.73384367,31856055.115852684,9.024,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 10.264]
22/03/2021,21:26:32,37411149.09760157,32159057.114528477,8.557,8,['http://speedtest.vktv.no:8080/speedtest/upload.php', '63.7506', '11.9169', 'Verdal', 'Norway', 'NO', 'Verdal Kabel-TV', '31973', 'speedtest.vktv.no:8080', 82.15803984558451, 9.423]
22/03/2021,22:21:33,35996949.84272655,35008377.16197372,11.222,5,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.699]
22/03/2021,22:22:31,29113489.834271397,29659141.87297218,9.684,7,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 9.105]
22/03/2021,22:23:31,40226361.00441186,35058123.01446336,9.023,9,['http://speedtest.vktv.no:8080/speedtest/upload.php', '63.7506', '11.9169', 'Verdal', 'Norway', 'NO', 'Verdal Kabel-TV', '31973', 'speedtest.vktv.no:8080', 82.15803984558451, 9.875]
22/03/2021,22:24:32,36898901.68722734,32346634.574847467,9.112,8,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 8.431]
22/03/2021,22:25:32,38935350.16726915,31103026.050938085,9.258,8,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 8.16]
22/03/2021,22:26:32,39181667.49060721,35897303.80584004,10.573,8,['http://speedtest.vktv.no:8080/speedtest/upload.php', '63.7506', '11.9169', 'Verdal', 'Norway', 'NO', 'Verdal Kabel-TV', '31973', 'speedtest.vktv.no:8080', 82.15803984558451, 9.403]
22/03/2021,22:27:32,41501287.81027427,36267110.20853506,9.44,8,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.913]
22/03/2021,22:28:32,42181076.16537025,4862945.124435726,8.792,4,['http://speedtest.vktv.no:8080/speedtest/upload.php', '63.7506', '11.9169', 'Verdal', 'Norway', 'NO', 'Verdal Kabel-TV', '31973', 'speedtest.vktv.no:8080', 82.15803984558451, 1800000.0]
22/03/2021,22:29:37,41860293.33272351,16562477.767126098,8.582,6,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.697]
22/03/2021,22:31:32,43917613.024715446,36595501.305566095,8.745,5,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 8.32]
